Time,VehicleID,TowerID,RSSI,Distance,TowerLoad
1,2049,1,6.89281,0,1
1,2050,1,3.09627,0,1
1,2051,1,13.5961,0,1
1,2052,1,20.3134,0,1
1,2053,1,6.27258,0,1
1,2054,1,15.8692,0,1
1,2055,1,30.9812,0,1
1,2056,1,15.5281,0,1
1,2057,1,2.95202,0,1
1,2058,1,26.4296,0,1
1,2049,2,9.53088,0,0.857143
1,2050,2,5.61022,0,0.857143
1,2051,2,16.3752,0,0.857143
1,2052,2,22.812,0,0.857143
1,2053,2,8.34053,0,0.857143
1,2054,2,19.1546,0,0.857143
1,2055,2,39.9653,0,0.857143
1,2056,2,17.4026,0,0.857143
1,2057,2,5.19335,0,0.857143
1,2058,2,29.3081,0,0.857143
1,2049,3,6.89281,0,0.75
1,2050,3,3.09627,0,0.75
1,2051,3,13.5961,0,0.75
1,2052,3,20.3134,0,0.75
1,2053,3,6.27258,0,0.75
1,2054,3,15.8692,0,0.75
1,2055,3,30.9812,0,0.75
1,2056,3,15.5281,0,0.75
1,2057,3,2.95202,0,0.75
1,2058,3,26.4296,0,0.75
1,2049,4,9.53088,0,0.666667
1,2050,4,5.61022,0,0.666667
1,2051,4,16.3752,0,0.666667
1,2052,4,22.812,0,0.666667
1,2053,4,8.34053,0,0.666667
1,2054,4,19.1546,0,0.666667
1,2055,4,39.9653,0,0.666667
1,2056,4,17.4026,0,0.666667
1,2057,4,5.19335,0,0.666667
1,2058,4,29.3081,0,0.666667
1,2049,5,6.89281,0,0.6
1,2050,5,3.09627,0,0.6
1,2051,5,13.5961,0,0.6
1,2052,5,20.3134,0,0.6
1,2053,5,6.27258,0,0.6
1,2054,5,15.8692,0,0.6
1,2055,5,30.9812,0,0.6
1,2056,5,15.5281,0,0.6
1,2057,5,2.95202,0,0.6
1,2058,5,26.4296,0,0.6
2,2049,1,6.88921,0,0.636364
2,2050,1,2.50472,0,0.636364
2,2051,1,13.6143,0,0.636364
2,2052,1,7.77084,0,0.636364
2,2053,1,6.69931,0,0.636364
2,2054,1,14.0343,0,0.636364
2,2055,1,28.3227,0,0.636364
2,2056,1,17.2771,0,0.636364
2,2057,1,4.94724,0,0.636364
2,2058,1,18.9079,0,0.636364
2,2049,2,7.63974,0,0.583333
2,2050,2,5.88665,0,0.583333
2,2051,2,17.6454,0,0.583333
2,2052,2,9.82231,0,0.583333
2,2053,2,7.96166,0,0.583333
2,2054,2,14.6185,0,0.583333
2,2055,2,39.981,0,0.583333
2,2056,2,22.1448,0,0.583333
2,2057,2,9.81556,0,0.583333
2,2058,2,21.1061,0,0.583333
2,2049,3,5.00226,0,0.538462
2,2050,3,3.37034,0,0.538462
2,2051,3,14.8645,0,0.538462
2,2052,3,7.33002,0,0.538462
2,2053,3,5.89489,0,0.538462
2,2054,3,11.3302,0,0.538462
2,2055,3,30.9719,0,0.538462
2,2056,3,20.2711,0,0.538462
2,2057,3,7.56971,0,0.538462
2,2058,3,18.2437,0,0.538462
2,2049,4,7.63974,0,0.5
2,2050,4,5.88665,0,0.5
2,2051,4,17.6454,0,0.5
2,2052,4,9.82231,0,0.5
2,2053,4,7.96166,0,0.5
2,2054,4,14.6185,0,0.5
2,2055,4,39.981,0,0.5
2,2056,4,22.1448,0,0.5
2,2057,4,9.81556,0,0.5
2,2058,4,21.1061,0,0.5
2,2049,5,5.00226,0,0.466667
2,2050,5,3.37034,0,0.466667
2,2051,5,14.8645,0,0.466667
2,2052,5,7.33002,0,0.466667
2,2053,5,5.89489,0,0.466667
2,2054,5,11.3302,0,0.466667
2,2055,5,30.9719,0,0.466667
2,2056,5,20.2711,0,0.466667
2,2057,5,7.56971,0,0.466667
2,2058,5,18.2437,0,0.466667
3,2049,1,3.45488,0,0
3,2050,1,-0.580323,0,0
3,2051,1,15.914,0,0
3,2052,1,17.6614,0,0
3,2053,1,9.26429,0,0
3,2054,1,4.61701,0,0
3,2055,1,22.9826,0,0
3,2056,1,20.2024,0,0
3,2057,1,5.89393,0,0
3,2058,1,16.8107,0,0
3,2049,2,7.00668,0,0
3,2050,2,3.29954,0,0
3,2051,2,19.2351,0,0
3,2052,2,19.87,0,0
3,2053,2,11.0936,0,0
3,2054,2,10.6536,0,0
3,2055,2,32.0979,0,0
3,2056,2,24.1863,0,0
3,2057,2,7.77921,0,0
3,2058,2,18.0269,0,0
3,2049,3,4.37016,0,0
3,2050,3,0.779101,0,0
3,2051,3,16.4513,0,0
3,2052,3,17.3868,0,0
3,2053,3,9.02876,0,0
3,2054,3,7.3604,0,0
3,2055,3,23.0482,0,0
3,2056,3,22.314,0,0
3,2057,3,5.5327,0,0
3,2058,3,15.1674,0,0
3,2049,4,7.00668,0,0
3,2050,4,3.29954,0,0
3,2051,4,19.2351,0,0
3,2052,4,19.87,0,0
3,2053,4,11.0936,0,0
3,2054,4,10.6536,0,0
3,2055,4,32.0979,0,0
3,2056,4,24.1863,0,0
3,2057,4,7.77921,0,0
3,2058,4,18.0269,0,0
3,2049,5,4.37016,0,0
3,2050,5,0.779101,0,0
3,2051,5,16.4513,0,0
3,2052,5,17.3868,0,0
3,2053,5,9.02876,0,0
3,2054,5,7.3604,0,0
3,2055,5,23.0482,0,0
3,2056,5,22.314,0,0
3,2057,5,5.5327,0,0
3,2058,5,15.1674,0,0
4,2049,1,14.1578,0,1
4,2050,1,0.172238,0,1
4,2051,1,14.7215,0,1
4,2052,1,20.2635,0,1
4,2053,1,8.09871,0,1
4,2054,1,17.6356,0,1
4,2055,1,32.5937,0,1
4,2056,1,4.2432,0,1
4,2057,1,5.32717,0,1
4,2058,1,18.5277,0,1
4,2049,2,16.0413,0,0.857143
4,2050,2,5.04155,0,0.857143
4,2051,2,18.492,0,0.857143
4,2052,2,22.4991,0,0.857143
4,2053,2,11.4167,0,0.857143
4,2054,2,19.8308,0,0.857143
4,2055,2,44.2087,0,0.857143
4,2056,2,5.46894,0,0.857143
4,2057,2,7.58931,0,0.857143
4,2058,2,18.6457,0,0.857143
4,2049,3,13.4022,0,0.75
4,2050,3,2.51542,0,0.75
4,2051,3,15.7043,0,0.75
4,2052,3,20.0285,0,0.75
4,2053,3,9.35449,0,0.75
4,2054,3,16.5306,0,0.75
4,2055,3,35.1054,0,0.75
4,2056,3,3.59835,0,0.75
4,2057,3,5.34191,0,0.75
4,2058,3,15.7905,0,0.75
4,2049,4,16.0413,0,0.666667
4,2050,4,5.04155,0,0.666667
4,2051,4,18.492,0,0.666667
4,2052,4,22.4991,0,0.666667
4,2053,4,11.4167,0,0.666667
4,2054,4,19.8308,0,0.666667
4,2055,4,44.2087,0,0.666667
4,2056,4,5.46894,0,0.666667
4,2057,4,7.58931,0,0.666667
4,2058,4,18.6457,0,0.666667
4,2049,5,13.4022,0,0.6
4,2050,5,2.51542,0,0.6
4,2051,5,15.7043,0,0.6
4,2052,5,20.0285,0,0.6
4,2053,5,9.35449,0,0.6
4,2054,5,16.5306,0,0.6
4,2055,5,35.1054,0,0.6
4,2056,5,3.59835,0,0.6
4,2057,5,5.34191,0,0.6
4,2058,5,15.7905,0,0.6
5,2049,1,13.7345,0,0.636364
5,2050,1,24.1282,0,0.636364
5,2051,1,19.886,0,0.636364
5,2052,1,10.8162,0,0.636364
5,2053,1,16.9211,0,0.636364
5,2054,1,9.31757,0,0.636364
5,2055,1,36.1624,0,0.636364
5,2056,1,6.10674,0,0.636364
5,2057,1,2.67759,0,0.636364
5,2058,1,13.1307,0,0.636364
5,2049,2,14.8952,0,0.583333
5,2050,2,26.1697,0,0.583333
5,2051,2,23.209,0,0.583333
5,2052,2,14.0692,0,0.583333
5,2053,2,19.4286,0,0.583333
5,2054,2,11.2769,0,0.583333
5,2055,2,45.5303,0,0.583333
5,2056,2,6.91147,0,0.583333
5,2057,2,6.77669,0,0.583333
5,2058,2,15.8605,0,0.583333
5,2049,3,12.2542,0,0.538462
5,2050,3,23.625,0,0.538462
5,2051,3,20.4241,0,0.538462
5,2052,3,11.6147,0,0.538462
5,2053,3,17.3692,0,0.538462
10,2050,1,-0.445923,0,1
10,2051,1,16.9992,0,1
10,2052,1,7.75649,0,1
10,2053,1,11.3992,0,1
10,2054,1,13.811,0,1
10,2055,1,25.23,0,1
10,2056,1,4.70926,0,1
10,2057,1,4.6893,0,1
10,2058,1,18.4212,0,1
10,2049,2,13.1374,0,0.857143
10,2050,2,0.84086,0,0.857143
10,2051,2,20.1904,0,0.857143
10,2052,2,10.139,0,0.857143
10,2053,2,12.2006,0,0.857143
10,2054,2,17.2179,0,0.857143
10,2055,2,34.2349,0,0.857143
10,2056,2,6.34819,0,0.857143
10,2057,2,7.18268,0,0.857143
10,2058,2,20.7818,0,0.857143
10,2049,3,10.532,0,0.75
10,2050,3,-1.65911,0,0.75
10,2051,3,17.3564,0,0.75
10,2052,3,7.80232,0,0.75
10,2053,3,10.1417,0,0.75
10,2054,3,13.8899,0,0.75
10,2055,3,24.9471,0,0.75
10,2056,3,4.48874,0,0.75
10,2057,3,4.93247,0,0.75
10,2058,3,17.9655,0,0.75
10,2049,4,13.1374,0,0.666667
100,2052,1,0.713674,0,1
100,2053,1,10.1236,0,1
100,2054,1,0.83969,0,1
100,2055,1,15.6297,0,1
100,2056,1,8.81448,0,1
100,2057,1,4.03302,0,1
100,2058,1,8.84544,0,1
100,2051,2,9.2077,0,0.857143
100,2052,2,3.05002,0,0.857143
100,2053,2,13.1253,0,0.857143
100,2054,2,2.30286,0,0.857143
100,2055,2,23.9291,0,0.857143
100,2056,2,11.0544,0,0.857143
100,2057,2,10.0706,0,0.857143
100,2058,2,11.6345,0,0.857143
100,2051,3,5.64568,0,0.75
100,2052,3,0.143222,0,0.75
100,2053,3,10.4122,0,0.75
100,2054,3,-0.463908,0,0.75
100,2055,3,19.6765,0,0.75
100,2056,3,8.81448,0,0.75
100,2057,3,7.34407,0,0.75
100,2058,3,9.15299,0,0.75
100,2051,4,9.2077,0,0.666667
100,2052,4,3.05002,0,0.666667
100,2053,4,13.1253,0,0.666667
100,2054,4,2.30286,0,0.666667
100,2055,4,23.9291,0,0.666667
100,2056,4,11.0544,0,0.666667
100,2057,4,10.0706,0,0.666667
100,2058,4,11.6345,0,0.666667
100,2051,5,5.64568,0,0.6
100,2052,5,0.143222,0,0.6
100,2053,5,10.4122,0,0.6
100,2054,5,-0.463908,0,0.6
100,2055,5,19.6765,0,0.6
100,2056,5,8.81448,0,0.6
100,2057,5,7.34407,0,0.6
100,2058,5,9.15299,0,0.6
1,2049,1,6.89281,0,1
1,2050,1,3.09627,0,1
1,2051,1,13.5961,0,1
1,2052,1,20.3134,0,1
1,2053,1,6.27258,0,1
1,2054,1,15.8692,0,1
1,2055,1,30.9812,0,1
1,2056,1,15.5281,0,1
1,2057,1,2.95202,0,1
1,2058,1,26.4296,0,1
1,2049,2,9.53088,0,0.857143
1,2050,2,5.61022,0,0.857143
1,2051,2,16.3752,0,0.857143
1,2052,2,22.812,0,0.857143
1,2053,2,8.34053,0,0.857143
1,2054,2,19.1546,0,0.857143
1,2055,2,39.9653,0,0.857143
1,2056,2,17.4026,0,0.857143
1,2057,2,5.19335,0,0.857143
1,2058,2,29.3081,0,0.857143
1,2049,3,6.89281,0,0.75
1,2050,3,3.09627,0,0.75
1,2051,3,13.5961,0,0.75
1,2052,3,20.3134,0,0.75
1,2053,3,6.27258,0,0.75
1,2054,3,15.8692,0,0.75
1,2055,3,30.9812,0,0.75
1,2056,3,15.5281,0,0.75
1,2057,3,2.95202,0,0.75
1,2058,3,26.4296,0,0.75
1,2049,4,9.53088,0,0.666667
1,2050,4,5.61022,0,0.666667
1,2051,4,16.3752,0,0.666667
1,2052,4,22.812,0,0.666667
1,2053,4,8.34053,0,0.666667
1,2054,4,19.1546,0,0.666667
1,2055,4,39.9653,0,0.666667
1,2056,4,17.4026,0,0.666667
1,2057,4,5.19335,0,0.666667
1,2058,4,29.3081,0,0.666667
1,2049,5,6.89281,0,0.6
1,2050,5,3.09627,0,0.6
1,2051,5,13.5961,0,0.6
1,2052,5,20.3134,0,0.6
1,2053,5,6.27258,0,0.6
1,2054,5,15.8692,0,0.6
1,2055,5,30.9812,0,0.6
1,2056,5,15.5281,0,0.6
1,2057,5,2.95202,0,0.6
1,2058,5,26.4296,0,0.6
2,2049,1,6.88921,0,0.636364
2,2050,1,2.50472,0,0.636364
2,2051,1,13.6143,0,0.636364
2,2052,1,7.77084,0,0.636364
2,2053,1,6.69931,0,0.636364
2,2054,1,14.0343,0,0.636364
2,2055,1,28.3227,0,0.636364
2,2056,1,17.2771,0,0.636364
2,2057,1,4.94724,0,0.636364
2,2058,1,18.9079,0,0.636364
2,2049,2,7.63974,0,0.583333
2,2050,2,5.88665,0,0.583333
2,2051,2,17.6454,0,0.583333
2,2052,2,9.82231,0,0.583333
2,2053,2,7.96166,0,0.583333
2,2054,2,14.6185,0,0.583333
2,2055,2,39.981,0,0.583333
2,2056,2,22.1448,0,0.583333
2,2057,2,9.81556,0,0.583333
2,2058,2,21.1061,0,0.583333
2,2049,3,5.00226,0,0.538462
2,2050,3,3.37034,0,0.538462
2,2051,3,14.8645,0,0.538462
2,2052,3,7.33002,0,0.538462
2,2053,3,5.89489,0,0.538462
2,2054,3,11.3302,0,0.538462
2,2055,3,30.9719,0,0.538462
2,2056,3,20.2711,0,0.538462
10,2050,1,-0.445923,0,1
10,2051,1,16.9992,0,1
10,2052,1,7.75649,0,1
10,2053,1,11.3992,0,1
10,2054,1,13.811,0,1
10,2055,1,25.23,0,1
10,2056,1,4.70926,0,1
10,2057,1,4.6893,0,1
10,2058,1,18.4212,0,1
10,2049,2,13.1374,0,0.857143
10,2050,2,0.84086,0,0.857143
10,2051,2,20.1904,0,0.857143
10,2052,2,10.139,0,0.857143
10,2053,2,12.2006,0,0.857143
10,2054,2,17.2179,0,0.857143
10,2055,2,34.2349,0,0.857143
10,2056,2,6.34819,0,0.857143
10,2057,2,7.18268,0,0.857143
10,2058,2,20.7818,0,0.857143
10,2049,3,10.532,0,0.75
10,2050,3,-1.65911,0,0.75
10,2051,3,17.3564,0,0.75
10,2052,3,7.80232,0,0.75
10,2053,3,10.1417,0,0.75
10,2054,3,13.8899,0,0.75
10,2055,3,24.9471,0,0.75
10,2056,3,4.48874,0,0.75
10,2057,3,4.93247,0,0.75
10,2058,3,17.9655,0,0.75
10,2049,4,13.1374,0,0.666667
10,2050,4,0.84086,0,0.666667
10,2051,4,20.1904,0,0.666667
10,2052,4,10.139,0,0.666667
10,2053,4,12.2006,0,0.666667
10,2054,4,17.2179,0,0.666667
10,2055,4,34.2349,0,0.666667
10,2056,4,6.34819,0,0.666667
10,2057,4,7.18268,0,0.666667
100,2052,1,9.87524,0,1
100,2052,1,5.01521,0,1
100,2053,1,-1.26351,0,1
100,2054,1,6.78758,0,1
100,2055,1,26.1743,0,1
100,2056,1,2.133,0,1
100,2057,1,3.17008,0,1
100,2058,1,2.32349,0,1
100,2051,2,12.105,0,0.857143
100,2052,2,7.35155,0,0.857143
100,2053,2,1.73817,0,0.857143
100,2054,2,8.25075,0,0.857143
100,2055,2,34.4737,0,0.857143
100,2056,2,4.37288,0,0.857143
100,2057,2,9.2077,0,0.857143
100,2058,2,5.11256,0,0.857143
100,2051,3,8.54301,0,0.75
100,2052,3,4.44476,0,0.75
100,2053,3,-0.974924,0,0.75
100,2054,3,5.48398,0,0.75
100,2055,3,30.2211,0,0.75
100,2056,3,2.133,0,0.75
100,2057,3,6.48113,0,0.75
100,2058,3,2.63104,0,0.75
100,2051,4,12.105,0,0.666667
100,2052,4,7.35155,0,0.666667
100,2053,4,1.73817,0,0.666667
100,2054,4,8.25075,0,0.666667
100,2055,4,34.4737,0,0.666667
100,2056,4,4.37288,0,0.666667
100,2057,4,9.2077,0,0.666667
100,2058,4,5.11256,0,0.666667
100,2051,5,8.54301,0,0.6
100,2052,5,4.44476,0,0.6
100,2053,5,-0.974924,0,0.6
100,2054,5,5.48398,0,0.6
100,2055,5,30.2211,0,0.6
100,2056,5,2.133,0,0.6
100,2057,5,6.48113,0,0.6
100,2058,5,2.63104,0,0.6
